country,year,suicides,male,female,population,rate
France,1996,11279,8174,3105,54791600,20.585272195007995
France,1997,11139,8099,3040,55045500,20.2359865929095
France,1998,10534,7771,2763,55280700,19.05547505729848
France,1999,10268,7427,2841,55043393,18.654373286908385
France,2000,10849,7975,2874,55267624,19.62993741145811
France,2001,10449,7660,2789,55511272,18.82320405124206
France,2002,10643,7728,2915,55935517,19.02726670069037
France,2003,10871,8038,2833,56360402,19.288364905559046
France,2004,10804,7855,2949,56813922,19.01646571768096
France,2005,10713,7829,2884,57160687,18.74190210485049
France,2006,10423,7593,2830,57824447,18.025248040850265
France,2007,10127,7419,2708,58167011,17.410212121781537
France,2008,10353,7619,2734,58482967,17.702590225971264
France,2009,10499,7765,2734,58770727,17.864335760216136
France,2010,10379,7641,2738,59056283,17.574759996324186
France,2011,10408,7790,2618,59344643,17.53823003029945
France,2012,9743,7326,2417,59638457,16.336774105339448
France,2013,9600,7225,2375,59910069,16.024017598777927
France,2014,8881,6661,2220,60275954,14.733902013396586
Georgia,1990,196,140,56,4986400,3.930691480827852
Georgia,1991,174,123,51,5018550,3.4671369220193085
Georgia,1992,204,151,53,4988700,4.089241686210836
Georgia,1994,123,90,33,4518900,2.721901347673106
Georgia,1995,138,106,32,4410850,3.128648673158235
Georgia,1996,162,124,38,4310350,3.758395489925412
Georgia,1997,176,141,35,4240600,4.150356081686554
Georgia,1998,148,118,30,4209250,3.516065807447882
Georgia,1999,189,147,42,4187750,4.513163393230255
Georgia,2000,130,102,28,4165600,3.1207989245246783
Georgia,2001,100,73,27,4140950,2.4149047923785605
Georgia,2004,175,147,28,4089850,4.27888553369928
Georgia,2005,87,69,18,4132000,2.1055179090029044
Georgia,2006,72,59,13,4166500,1.7280691227649108
Georgia,2007,104,84,20,4154900,2.503068665912537
Georgia,2009,188,149,39,4158750,4.52058911932672
Georgia,2010,112,96,16,4193800,2.670608994229577
Georgia,2011,99,84,15,4202600,2.3556845762147245
Georgia,2012,104,91,13,4200900,2.4756599776238426
Georgia,2013,157,134,23,4192600,3.7446930305776847
Georgia,2014,194,158,36,3470600,5.589811559960814
Georgia,2015,192,144,48,3458400,5.551700208188758
Germany,1990,13924,9534,4390,74958800,18.575537495264065
Germany,1991,14010,9656,4354,75495900,18.557299138098887
Germany,1992,13458,9326,4132,76131700,17.677261902729086
Germany,1993,12690,8960,3730,76793400,16.524857604950427
Germany,1994,12718,9130,3588,77163400,16.48190722544626
Germany,1995,12888,9222,3666,77547500,16.619491279538348
Germany,1996,12225,8728,3497,77882500,15.696722627034314
Germany,1997,12256,8835,3421,78067900,15.699154197820102
Germany,1998,11654,8581,3073,78071100,14.927418724726564
Germany,1999,11160,8082,3078,78141200,14.281838517964914
Germany,2000,11073,8136,2937,78242066,14.152233659065187
Germany,2001,11167,8196,2971,78421514,14.239714882321707
Germany,2002,11176,8117,3059,78633771,14.212722927913504
Germany,2003,11155,8182,2973,78756461,14.163917294353793
Germany,2004,10741,7946,2795,78811814,13.628667397504643
Germany,2005,10270,7531,2739,78851254,13.024523363953096
Germany,2006,9775,7231,2544,78828994,12.400259731844352
Germany,2007,9409,7012,2397,78776585,11.943904397480544
Germany,2008,9459,7045,2414,78662789,12.024745270600564
Germany,2009,9579,7206,2373,78448602,12.210542642939641
Germany,2010,10030,7471,2559,78349067,12.801684032816881
Germany,2011,10153,7651,2502,78371140,12.955024005010008
Germany,2012,9896,7289,2607,78508115,12.605066367979921
Germany,2013,10091,7456,2635,77270988,13.059235116807358
Germany,2014,10217,7629,2588,77552369,13.174323533559626
Germany,2015,10088,7403,2685,78136683,12.910709301545344
Greece,1985,405,277,128,9275400,4.366388511546671
Greece,1986,393,292,101,9334000,4.210413541889865
Greece,1987,410,296,114,9387400,4.367556511920234
Greece,1988,403,288,115,9450000,4.264550264550264
Greece,1989,383,278,105,9527500,4.019942272369457
Greece,1990,349,271,78,9617000,3.628990329624623
Greece,1991,381,297,84,9721144,3.919291803516129
Greece,1992,351,279,72,9834155,3.569193286052539
Greece,1993,412,308,104,9930405,4.148874089223954
Greece,1994,355,281,74,10018932,3.543291839888723
Greece,1995,370,306,64,10101632,3.662774490300181
Greece,1996,356,294,62,10178479,3.497575620090192
Greece,1997,374,319,55,10248806,3.649205575751946
Greece,1998,403,315,88,10310630,3.908587545086964
Greece,1999,381,296,85,10362363,3.6767675480968967
Greece,2000,382,298,84,10403059,3.6719968616923158
Greece,2001,334,286,48,10441529,3.198765238309447
Greece,2002,323,257,66,10482045,3.081459772401282
Greece,2003,375,306,69,10515665,3.5661082775078894
Greece,2004,353,285,68,10547290,3.346831271350271
Greece,2005,400,321,79,10582816,3.7797123185360118
Greece,2006,394,326,68,10618891,3.710368625122906
Greece,2007,328,268,60,10653591,3.078774095983223
Greece,2008,373,308,65,10686723,3.490312231354738
Greece,2009,391,333,58,10719618,3.6475180365568995
Greece,2010,377,336,41,10735384,3.511751419418253
Greece,2011,477,393,84,10728724,4.446008677266747
Greece,2012,508,417,91,10539802,4.819824888551038
Greece,2013,533,425,108,10431289,5.109627391207357
Greece,2014,565,450,115,10380547,5.44287309714989
Greece,2015,529,422,107,10331286,5.120369332530336
Grenada,1985,1,1,0,85375,1.171303074670571
Grenada,1988,4,3,1,87300,4.581901489117984
Grenada,1989,4,4,0,81805,4.8896766701301875
Grenada,1990,2,2,0,82000,2.4390243902439024
Grenada,1991,0,0,0,82400,0.0
Grenada,1992,0,0,0,83528,0.0
Grenada,1993,3,3,0,85304,3.5168339116571325
Grenada,1994,4,4,0,87036,4.595799439312469
Grenada,1995,1,0,1,88433,1.1307995883889497
Grenada,1996,1,1,0,89772,1.11393307490086
Grenada,2001,0,0,0,91415,0.0
Grenada,2002,0,0,0,91908,0.0
Grenada,2003,4,4,0,92567,4.321194378126114
Grenada,2004,1,1,0,93202,1.0729383489624686
Grenada,2005,6,5,1,93685,6.404440412019
Grenada,2006,1,1,0,94126,1.0624057114931051
Grenada,2007,3,2,1,94418,3.1773602491050434
Grenada,2008,0,0,0,94585,0.0
Grenada,2009,0,0,0,94746,0.0
Grenada,2010,0,0,0,94980,0.0
Grenada,2011,1,1,0,95102,1.051502597211415
Grenada,2012,2,2,0,95426,2.0958648586339153
Grenada,2013,0,0,0,95876,0.0
Grenada,2014,0,0,0,96393,0.0
Grenada,2015,0,0,0,96892,0.0
Grenada,2016,0,0,0,79012,0.0
Guatemala,1986,203,167,36,6924188,2.931751708648003
Guatemala,1987,241,184,57,7108740,3.3901929174509124
Guatemala,1988,174,143,31,7300076,2.383536828931644
Guatemala,1989,152,122,30,7493108,2.0285307511916284
Guatemala,1990,158,131,27,7683992,2.056222859159666
Guatemala,1991,156,124,32,7880665,1.979528377364093
Guatemala,1992,173,135,38,8069672,2.14382938984385
Guatemala,1993,165,135,30,8254958,1.9987987825013767
Guatemala,1994,142,122,20,8443914,1.6816845837131926
Guatemala,1995,211,164,47,8641512,2.4417023317215785
Guatemala,1996,157,124,33,8832326,1.7775611996205756
Guatemala,1997,179,135,44,9044205,1.9791678760045797
Guatemala,1998,201,156,45,9273529,2.167459658561482
Guatemala,1999,234,192,42,9512666,2.459878229720249
Guatemala,2000,182,142,40,9755585,1.865598013855653
Guatemala,2001,202,150,52,10015097,2.0169550030319225
Guatemala,2002,258,194,64,10277166,2.510419701306761
Guatemala,2003,253,200,53,10542980,2.399701033294192
Guatemala,2004,250,184,66,10817808,2.3110042256250063
Guatemala,2005,238,177,61,11104906,2.1431968897350413
Guatemala,2006,298,227,71,11397134,2.6146924305707033
Guatemala,2007,327,263,64,11708397,2.792867375440037
Guatemala,2008,492,371,121,12032885,4.088794998040786
Guatemala,2009,511,366,145,12359945,4.1343226041863455
Guatemala,2010,352,270,82,12682151,2.77555439924978
Guatemala,2011,359,251,108,13017342,2.7578594769961486
Guatemala,2012,420,310,110,13335425,3.1495059212586023
Guatemala,2013,455,331,124,13641878,3.335317908575344
Guatemala,2014,512,356,156,13947190,3.6709903571973994
Guatemala,2015,494,350,144,14258397,3.4646250907447733
Guyana,1988,56,42,14,654894,8.551002146912325
Guyana,1989,94,68,26,654104,14.370803419639689
Guyana,1990,89,64,25,653426,13.620517089922961
Guyana,1991,105,76,29,654620,16.03983990712169
Guyana,1992,78,60,18,656713,11.877334543400238
Guyana,1993,72,57,15,658831,10.928447507782725
Guyana,1994,86,59,27,660582,13.018822795655952
Guyana,1995,99,77,22,661682,14.961869901251658
Guyana,1996,60,51,9,659048,9.104040980323132
Guyana,1997,40,36,4,657584,6.082873062604929
Guyana,1998,35,31,4,657089,5.326523499860749
Guyana,1999,163,121,42,657094,24.806192112544018
Guyana,2001,197,154,43,660426,29.82923143546741
Guyana,2002,176,142,34,662839,26.552450896824116
Guyana,2003,198,153,45,664705,29.787650160597558
Guyana,2004,186,138,48,666308,27.915018279834552
Guyana,2005,169,127,42,667709,25.31042714715542
Guyana,2006,201,151,50,668408,30.07145336381372
Guyana,2007,185,143,42,668788,27.66197958097334
Guyana,2008,168,124,44,669253,25.102614407406463
Guyana,2009,156,109,47,670155,23.278196835060545
Guyana,2010,205,156,49,671825,30.513898708741113
Guyana,2011,192,153,39,675283,28.432523845558084
Guyana,2012,206,156,50,679356,30.32283515564741
Guyana,2013,210,160,50,683867,30.707725332557352
Hungary,1991,3993,2880,1113,9757766,40.921251852114516
Hungary,1992,4000,2939,1061,9754956,41.00479797141064
Hungary,1993,3694,2715,979,9747902,37.89533378566998
Hungary,1994,3625,2727,898,9740817,37.214537548544435
Hungary,1995,3366,2475,891,9737248,34.56828869923001
Hungary,1996,3436,2520,916,9737250,35.28717040232098
Hungary,1997,3208,2383,825,9737781,32.943850349479
Hungary,1998,3245,2468,777,9734373,33.335480364272044
Hungary,1999,3326,2548,778,9553064,34.816054828063535
Hungary,2000,3269,2463,806,9527034,34.31288268730856
Hungary,2001,2978,2282,696,9704598,30.686484901280814
Hungary,2002,2839,2192,647,9680164,29.32801551709248
Hungary,2003,2800,2160,640,9652533,29.007929835619315
Hungary,2004,2742,2087,655,9630044,28.473390152734503
Hungary,2005,2619,2026,593,9608943,27.25585946341861
Hungary,2006,2461,1861,600,9591110,25.659178134751865
Hungary,2007,2450,1879,571,9572938,25.592978874406167
Hungary,2008,2476,1910,566,9552784,25.919145664761185
Hungary,2009,2460,1901,559,9534237,25.801750050895528
Hungary,2010,2489,1942,547,9514005,26.161432540764903
Hungary,2011,2420,1846,574,9495011,25.48706894599701
Hungary,2012,2349,1803,546,9453181,24.848778416492816
Hungary,2013,2092,1587,505,9433840,22.17548739431663
Hungary,2014,1925,1478,447,9412788,20.45090147573705
Hungary,2015,1868,1389,479,9389519,19.894522818474513
Hungary,2016,1761,1315,446,8390370,20.98834735536097
Iceland,1985,32,25,7,220100,14.538845979100408
Iceland,1986,37,25,12,222300,16.644174538911383
Iceland,1987,36,22,14,225600,15.957446808510637
Iceland,1988,35,30,5,229200,15.270506108202444
Iceland,1989,22,16,6,232000,9.482758620689655
Iceland,1990,40,35,5,233300,17.145306472353194
Iceland,1991,37,29,8,235900,15.684612123781264
Iceland,1992,28,23,5,238000,11.764705882352942
Iceland,1993,26,19,7,240500,10.81081081081081
Iceland,1994,25,21,4,242700,10.300782859497321
Iceland,1995,27,22,5,244700,11.03391908459338
Iceland,1996,33,28,5,246500,13.38742393509128
Iceland,1997,33,26,7,248929,13.256792097345027
Iceland,1998,30,23,7,252253,11.892821889135114
Iceland,1999,31,24,7,255820,12.11789539519975
Iceland,2000,50,42,8,259723,19.251279247505995
Iceland,2001,36,28,8,263738,13.649910138091592
Iceland,2002,30,20,10,266455,11.258936781069975
Iceland,2003,26,20,6,268330,9.689561361010695
Iceland,2004,35,26,9,271588,12.887167326980572
Iceland,2005,33,24,9,274929,12.003098981918969
Iceland,2006,32,22,10,282999,11.307460450390284
Iceland,2007,37,30,7,289712,12.771303915612746
Iceland,2008,38,27,11,296836,12.80168173671657
Iceland,2009,36,29,7,296204,12.153785904309192
Iceland,2010,46,36,10,294620,15.613332428212614
Iceland,2011,27,22,5,295475,9.13782891953634
Iceland,2012,37,26,11,297238,12.447937343139166
Iceland,2013,49,35,14,300456,16.308544345927523
Iceland,2014,44,33,11,304472,14.451246748469483
Iceland,2015,40,29,11,308554,12.963695171671732
Iceland,2016,40,36,4,268773,14.882447269629019
Ireland,1985,276,216,60,3208200,8.602954927997008
Ireland,1986,282,215,67,3216700,8.766748531103305
Ireland,1987,245,185,60,3229700,7.585843886429081
Ireland,1988,266,195,71,3233500,8.22638008350085
Ireland,1989,278,213,65,3223200,8.624968974931745
Ireland,1990,334,251,83,3224000,10.359801488833746
Ireland,1991,345,282,63,3252100,10.608529873005136
Ireland,1992,362,304,58,3283400,11.025156849607114
Ireland,1993,326,259,67,3306500,9.859367911689098
Ireland,1994,394,304,90,3326000,11.846061334936861
Ireland,1995,403,320,83,3345900,12.044591888580053
Ireland,1996,408,345,63,3375800,12.086024053557676
Ireland,1997,466,376,90,3414285,13.648538420196322
Ireland,1998,498,425,73,3449415,14.437230660851188
Ireland,1999,424,342,82,3481871,12.177360964837582
Ireland,2000,463,381,82,3523376,13.14080586346731
Ireland,2001,488,409,79,3573974,13.654268329875931
Ireland,2002,449,368,81,3639573,12.336612014651168
Ireland,2003,454,358,96,3694079,12.289937491861977
Ireland,2004,464,390,74,3752679,12.364500134437291
Ireland,2005,451,363,88,3833357,11.765144754323691
Ireland,2006,452,372,80,3937578,11.479137683113834
Ireland,2007,458,362,96,4026707,11.374058256535676
Ireland,2008,506,386,120,4094192,12.35897095202179
Ireland,2009,527,422,105,4117667,12.798509447218533
Ireland,2010,486,386,100,4264857,11.395458276795681
Ireland,2011,554,458,96,4218849,13.131543698293065
Ireland,2012,542,446,96,4220806,12.841149297077383
Ireland,2013,487,391,96,4227378,11.52014321879898
Ireland,2014,486,399,87,4328043,11.229093611130942
Israel,1985,234,159,75,3753500,6.234181430664713
Israel,1986,278,182,96,3813500,7.289891176084962
Israel,1987,271,193,78,3878100,6.987958020680229
Israel,1988,303,214,89,3947300,7.676133052972918
Israel,1989,353,248,105,4021100,8.778692397602645
Israel,1990,304,220,84,4156100,7.314549698034215
Israel,1991,359,262,97,4423200,8.116295894375114
Israel,1992,381,278,103,4588900,8.302643335004031
Israel,1993,371,272,99,4717000,7.865168539325842
Israel,1994,416,304,112,4844900,8.586348531445436
Israel,1995,360,258,102,4977700,7.232255861140688
Israel,1996,306,231,75,5103700,5.995650214550229
Israel,1997,379,301,78,5233500,7.241807585745677
Israel,1998,318,239,79,5360200,5.9326144546845265
Israel,1999,368,297,71,5497047,6.694503430660134
Israel,2000,394,307,87,5643291,6.981741682291414
Israel,2001,398,323,75,5777467,6.888832078140819
Israel,2002,382,291,91,5895508,6.479509484169982
Israel,2003,417,345,72,6003127,6.946379778405488
Israel,2004,411,320,91,6109931,6.726753542715948
Israel,2005,425,304,121,6220861,6.831851732420962
Israel,2006,367,279,88,6334485,5.793683306535575
Israel,2007,326,263,63,6448814,5.055193094420153
Israel,2008,354,294,60,6565602,5.391737117175242
Israel,2009,404,310,94,6731835,6.001335445684572
Israel,2010,480,394,86,6849825,7.007478293241069
Israel,2011,409,322,87,6971495,5.866747376280124
Israel,2012,430,349,81,7095360,6.060298561313309
Israel,2013,372,291,81,7226008,5.148070691313931
Israel,2014,382,294,88,7366252,5.185812269251717
Israel,2015,342,269,73,7516180,4.5501837369514835
Italy,1985,4759,3371,1388,54114700,8.794283253903284
Italy,1986,4691,3293,1398,54267500,8.644216151471875
Italy,1987,4516,3263,1253,54424100,8.297794543226255
Italy,1988,4381,3095,1286,54579700,8.0267938445979
Italy,1989,4342,3124,1218,54697200,7.938249124269616
Italy,1990,4402,3181,1221,54831700,8.028202663787555
Italy,1991,4453,3206,1247,54465500,8.175817719473795
Italy,1992,4543,3339,1204,54154898,8.388899559925308
Italy,1993,4697,3516,1181,54140523,8.675571900182788
Italy,1994,4536,3411,1125,54143049,8.377806724552952
Italy,1995,4569,3430,1139,54141172,8.43904893673155
Italy,1996,4689,3458,1231,54150332,8.659226687659089
Italy,1997,4694,3547,1147,54181477,8.66347737253453
Italy,1998,4504,3448,1056,54250592,8.30221355003831
Italy,1999,4115,3105,1010,54280527,7.58098756115614
Italy,2000,4108,3062,1046,54298946,7.565524384211804
Italy,2001,4030,3050,980,54333844,7.417108202394073
Italy,2002,4069,3145,924,54526842,7.462379721165587
Italy,2003,4075,3078,997,54937570,7.417510457779621
Italy,2004,3986,3046,940,54988156,7.248833730667382
Italy,2005,3742,2803,939,55244690,6.773501670477288
Italy,2006,3700,2841,859,56180672,6.585894878580306
Italy,2007,3757,2893,864,56583578,6.639735649095926
Italy,2008,3904,2997,907,57009825,6.847942437992048
Italy,2009,3974,3093,881,57351830,6.929159889056722
Italy,2010,3989,3128,861,57637843,6.9208002804685105
Italy,2011,4153,3290,863,56610149,7.336140380058
Italy,2012,4257,3324,933,56795085,7.495366896624946
Italy,2013,4290,3322,968,57503331,7.460437378836367
Italy,2014,4147,3215,932,58100676,7.137610584771854
Italy,2015,3988,3105,883,58117697,6.8619374232946635
Jamaica,1985,8,6,2,2035000,0.39312039312039315
Jamaica,1986,1,1,0,2052531,0.04872033601441343
Jamaica,1987,13,10,3,2070760,0.6277888311537794
Jamaica,1988,5,3,2,2090603,0.23916544652428032
Jamaica,1989,0,0,0,2111039,0.0
Jamaica,1990,3,3,0,2131041,0.14077626849976138
Jamaica,1991,1,1,0,2154835,0.04640726552149005
Jamaica,2000,3,3,0,2367841,0.12669769634025257
Jamaica,2001,5,4,1,2391278,0.20909321291794597
Jamaica,2002,2,2,0,2415717,0.0827911547586079
Jamaica,2003,2,1,1,2440426,0.08195290494364509
Jamaica,2004,1,1,0,2464408,0.040577696550246546
Jamaica,2005,51,43,8,2487169,2.0505241099418656
Jamaica,2006,0,0,0,2512597,0.0
Jamaica,2009,36,33,3,2568883,1.4013872955677622
Jamaica,2010,3,3,0,2586652,0.11598003906207717
Jamaica,2011,50,44,6,2601037,1.9223102170403572
Japan,1985,23257,15245,8012,112809200,20.61622633614989
Japan,1986,25484,16350,9134,113679000,22.417508950641718
Japan,1987,23663,15143,8520,114416000,20.681548035239828
Japan,1988,22676,14186,8490,115101000,19.70095828880722
Japan,1989,21013,12846,8167,115766000,18.151270666689705
Japan,1990,20002,12248,7754,116251400,17.205814295569773
Japan,1991,19780,12400,7380,116802000,16.934641530110785
Japan,1992,20756,13396,7360,117311000,17.693140455711738
Japan,1993,20353,13394,6959,117735000,17.287127871915743
Japan,1994,20744,13892,6852,118064000,17.570131454126575
Japan,1995,21249,14079,7170,118349500,17.9544484767574
Japan,1996,21967,14701,7266,118785000,18.49307572504946
Japan,1997,23280,15706,7574,119060000,19.553166470687046
Japan,1998,31458,22078,9380,119338000,26.360421659488175
Japan,1999,31115,22129,8986,119540000,26.02894428643132
Japan,2000,29989,21415,8574,119752660,25.04244999651782
Japan,2001,29132,20868,8264,120066000,24.263321839654857
Japan,2002,29715,21467,8248,120189000,24.723560392381998
Japan,2003,31881,23190,8691,120395000,26.480335562108063
Japan,2004,30034,21764,8270,120500000,24.924481327800827
Japan,2005,30369,22070,8299,120657507,25.16959015239723
Japan,2006,29769,21283,8486,120702000,24.663220162051996
Japan,2007,30665,21867,8798,120704000,25.405123276776244
Japan,2008,30073,21405,8668,120602000,24.935739042470274
Japan,2009,30523,22015,8508,120496000,25.331131323861374
Japan,2010,29411,20905,8506,121127267,24.281072898309514
Japan,2011,28766,19781,8985,120927000,23.78790509977094
Japan,2012,26338,18402,7936,120735000,21.814718184453554
Japan,2013,25991,18081,7910,120514000,21.566788920789286
Japan,2014,24357,16820,7537,120274000,20.251259623858854
Japan,2015,23092,16146,6946,120376310,19.1831764904573
Kazakhstan,1990,3172,2393,779,14773900,21.470295588842486
Kazakhstan,1991,3082,2386,696,14952800,20.611524263014285
Kazakhstan,1992,3356,2571,785,15150100,22.151668965881413
Kazakhstan,1993,4019,3190,829,15331400,26.21417483073953
Kazakhstan,1994,4024,3244,780,15229600,26.422230393444348
Kazakhstan,1995,4706,3906,800,14989600,31.395100603084806
Kazakhstan,1996,4773,3996,777,14487700,32.945187987051085
Kazakhstan,1997,4642,3881,761,14394600,32.248204187681495
Kazakhstan,1998,4313,3584,729,13844200,31.153840597506534
Kazakhstan,1999,3991,3328,663,13773400,28.976142419446177
Kazakhstan,2000,4428,3682,746,13772422,32.15120768155376
Kazakhstan,2001,4377,3719,658,13772696,31.78027018094351
Kazakhstan,2002,4240,3562,678,13777476,30.77486761726168
Kazakhstan,2003,4321,3633,688,13811863,31.284700695337044
Kazakhstan,2004,4394,3702,692,13873328,31.67228512149356
Kazakhstan,2005,3903,3269,634,13947770,27.98296788662274
Kazakhstan,2006,4076,3401,675,14037676,29.036145299264636
Kazakhstan,2007,4141,3420,721,14125606,29.315556444091673
Kazakhstan,2008,3997,3230,767,14216053,28.11610226833004
Kazakhstan,2009,3838,3120,718,14370635,26.707240146312255
Kazakhstan,2010,3609,2964,645,14713167,24.529049388211252
Kazakhstan,2011,3401,2793,608,14853350,22.897191542648628
Kazakhstan,2012,3240,2677,563,15023549,21.566142593870463
Kazakhstan,2013,3512,2837,675,15215382,23.081904877577177
Kazakhstan,2014,3119,2556,563,15428844,20.215383602297102
Kazakhstan,2015,2872,2342,530,15646752,18.35524714650044
Kiribati,1991,10,8,2,61855,16.166841807452915
Kiribati,1992,4,3,1,62856,6.363752068219422
Kiribati,1993,12,10,2,63848,18.794637263500814
Kiribati,1994,10,8,2,64871,15.41520864484901
Kiribati,1995,2,2,0,65923,3.033842513235138
Kiribati,1996,6,3,3,67126,8.938414325298691
Kiribati,1997,5,5,0,68328,7.3176443039456744
Kiribati,1998,4,4,0,69570,5.749604714675866
Kiribati,1999,0,0,0,70938,0.0
Kiribati,2000,0,0,0,72440,0.0
Kiribati,2001,0,0,0,73851,0.0
Kuwait,1985,17,14,3,1468000,1.1580381471389645
Kuwait,1986,16,12,4,1535300,1.0421416009900346
Kuwait,1987,16,11,5,1606300,0.9960779430990474
Kuwait,1993,18,12,6,1273600,1.4133165829145728
Kuwait,1994,30,18,12,1448000,2.0718232044198897
Kuwait,1995,26,21,5,1511100,1.7206008867712264
Kuwait,1996,30,19,11,1568700,1.9124115509657678
Kuwait,1997,33,16,17,1617500,2.0401854714064913
Kuwait,1998,35,20,15,1825766,1.9170036028713426
Kuwait,1999,46,33,13,1898700,2.4227102754516245
Kuwait,2000,34,20,14,1973153,1.723130441481223
Kuwait,2001,30,25,5,2038530,1.4716486880251947
Kuwait,2002,45,34,11,2158603,2.0846816204739826
Kuwait,2003,44,30,14,1950622,2.255690748899582
Kuwait,2004,45,28,17,1996086,2.2544118840570997
Kuwait,2005,52,41,11,2062968,2.5206401650437624
Kuwait,2006,45,34,11,2165713,2.077837645154275
Kuwait,2007,51,37,14,3074918,1.658580814187565
Kuwait,2008,47,33,14,3369394,1.394909589083378
Kuwait,2009,61,40,21,3165654,1.9269320020444431
Kuwait,2010,39,26,13,3281614,1.188439591006133
Kuwait,2011,41,26,15,3333698,1.2298654527194726
Kuwait,2012,56,37,19,3496698,1.6015109111510346
Kuwait,2013,41,28,13,3574090,1.1471451474361307
Kuwait,2014,68,50,18,3715284,1.8302773085449189
Kyrgyzstan,1990,547,400,147,3737300,14.636234714901132
Kyrgyzstan,1991,543,410,133,3796500,14.302647175029634
Kyrgyzstan,1992,491,385,106,3839300,12.788789623108379
Kyrgyzstan,1993,563,442,121,3841200,14.656878058939917
Kyrgyzstan,1994,581,493,88,3851100,15.086598634156474
Kyrgyzstan,1995,605,467,138,3905400,15.491370922312695
Kyrgyzstan,1996,480,392,88,3978800,12.063938876043029
Kyrgyzstan,1997,496,409,87,4059900,12.217049681026626
Kyrgyzstan,1998,509,421,88,4139700,12.295576974176873
Kyrgyzstan,1999,556,457,99,4298100,12.935948442334986
Kyrgyzstan,2000,510,414,96,4369202,11.67261206966398
Kyrgyzstan,2001,560,483,77,4425784,12.653125412356319
Kyrgyzstan,2002,567,467,100,4473163,12.67559442837205
Kyrgyzstan,2003,479,397,82,4520843,10.595369049533462
Kyrgyzstan,2004,438,363,75,4572278,9.579470014727889
Kyrgyzstan,2005,470,386,84,4614533,10.185212674825383
Kyrgyzstan,2006,463,366,97,4646475,9.964543013790022
Kyrgyzstan,2007,482,366,116,4668640,10.324205764419617
Kyrgyzstan,2008,473,379,94,4690924,10.083301285631574
Kyrgyzstan,2009,458,362,96,4800134,9.541400302574885
Kyrgyzstan,2010,500,395,105,4837556,10.335797663117491
Kyrgyzstan,2011,471,363,108,4870538,9.670389595564187
Kyrgyzstan,2012,524,402,122,4932360,10.62371765240169
Kyrgyzstan,2013,446,349,97,5012200,8.89828817684849
Kyrgyzstan,2014,461,358,103,5096430,9.04554756957321
Kyrgyzstan,2015,417,327,90,5195827,8.0256713705056
Latvia,1995,1024,825,199,2374700,43.12123636669895
Latvia,1996,922,741,181,2363400,39.011593467039006
Latvia,1997,886,706,180,2354700,37.62687391175097
Latvia,1998,839,678,161,2344100,35.791988396399475
Latvia,1999,763,593,170,2333400,32.699065740978824
Latvia,2000,770,618,152,2272107,33.88924905385178
Latvia,2001,708,571,137,2242227,31.575750358906568
Latvia,2002,670,521,149,2214484,30.25535519787002
Latvia,2003,604,482,122,2190211,27.5772516894491
Latvia,2004,563,457,106,2163477,26.022925133939488
Latvia,2005,564,445,119,2137831,26.38187957794606
Latvia,2006,487,407,80,2115215,23.023664261079844
Latvia,2007,453,358,95,2093878,21.63449828500037
Latvia,2008,527,427,100,2067529,25.489364357162586
Latvia,2009,516,416,100,2030316,25.414763022110847
Latvia,2010,438,376,62,1987906,22.033234971874926
Latvia,2011,440,365,75,1953611,22.52239570723138
Latvia,2012,444,371,73,1931521,22.98706563376738
Latvia,2013,383,322,61,1912464,20.026520760652225
Latvia,2014,382,311,71,1894041,20.16851799934637
Latvia,2015,387,306,81,1875522,20.634255423290156
Lithuania,1995,1694,1388,306,3387149,50.01256218725541
Lithuania,1996,1722,1388,334,3375163,51.019758156865315
Lithuania,1997,1632,1348,284,3364273,48.50973746779765
Lithuania,1998,1553,1285,268,3350973,46.344748226858286
Lithuania,1999,1550,1285,265,3333452,46.498344658930144
Lithuania,2000,1631,1317,314,3315125,49.19874816183402
Lithuania,2001,1533,1255,278,3294138,46.537212466508684
Lithuania,2002,1551,1309,242,3274488,47.36618365985766
Lithuania,2003,1455,1199,256,3254127,44.71245283297179
Lithuania,2004,1380,1124,256,3222969,42.81766284441457
Lithuania,2005,1319,1084,235,3174728,41.54686637721405
Lithuania,2006,1049,853,196,3125767,33.55976309174676
Lithuania,2007,1025,848,177,3087867,33.19443486393682
Lithuania,2008,1111,918,193,3053756,36.381426675870635
Lithuania,2009,1138,952,186,3016497,37.725878726217864
Lithuania,2010,1018,829,189,2949737,34.511551368816946
Lithuania,2011,1018,817,201,2879805,35.34961568578428
Lithuania,2012,927,753,174,2837770,32.6664951705036
Lithuania,2013,1085,887,198,2806627,38.65850360592982
Lithuania,2014,930,769,161,2781577,33.43427127848699
Lithuania,2015,896,727,169,2753926,32.5353695052082
Lithuania,2016,822,693,129,2445296,33.61556228775576
Luxembourg,1985,55,39,16,344800,15.951276102088167
Luxembourg,1986,51,37,14,346000,14.739884393063585
Luxembourg,1987,74,45,29,349400,21.179164281625642
Luxembourg,1988,69,52,17,352300,19.585580471189328
Luxembourg,1989,73,54,19,355400,20.540236353404612
Luxembourg,1990,68,47,21,358800,18.9520624303233
Luxembourg,1991,77,54,23,362900,21.217966381923397
Luxembourg,1992,59,29,30,367300,16.063163626463382
Luxembourg,1993,64,48,16,372000,17.204301075268816
Luxembourg,1994,74,61,13,377000,19.628647214854112
Luxembourg,1995,63,45,18,382100,16.487830410887202
